window_days,rank,start,end,cv,peak_ratio,total_events
1,1,2018-01-01,2018-01-02,1.432,7.736,1030
1,2,2013-10-14,2013-10-15,0.474,1.806,784
1,3,2001-11-12,2001-11-13,0.451,1.751,1247
1,4,2014-06-23,2014-06-24,0.439,1.735,830
1,5,2024-01-15,2024-01-16,0.425,1.876,499
1,6,2006-01-09,2006-01-10,0.414,1.479,1087
1,7,2007-04-02,2007-04-03,0.402,1.573,1190
1,8,2003-06-02,2003-06-03,0.388,1.474,1384
1,9,2019-10-28,2019-10-29,0.367,1.738,663
1,10,2025-07-14,2025-07-15,0.259,1.590,770
14,1,2014-12-29,2015-01-12,0.993,17.096,8805
14,2,2018-01-08,2018-01-22,0.460,2.052,9169
14,3,2019-04-29,2019-05-13,0.444,2.463,10367
14,4,2004-01-12,2004-01-26,0.436,2.054,16194
14,5,2011-11-14,2011-11-28,0.429,2.277,12690
14,6,2019-03-11,2019-03-25,0.420,2.042,9543
14,7,2023-10-23,2023-11-06,0.412,3.710,10596
14,8,2023-04-10,2023-04-24,0.402,2.316,9867
14,9,2021-05-17,2021-05-31,0.389,2.096,8336
14,10,2024-06-17,2024-07-01,0.334,2.086,10791
30,1,2014-12-22,2015-01-21,0.742,16.610,19420
30,2,2015-02-02,2015-03-04,0.470,3.580,17898
30,3,2015-11-09,2015-12-09,0.449,3.255,20131
30,4,2021-04-19,2021-05-19,0.439,3.967,16334
30,5,2019-04-01,2019-05-01,0.432,2.701,21058
30,6,2020-09-14,2020-10-14,0.424,3.281,17992
30,7,2017-05-22,2017-06-21,0.414,2.731,23729
30,8,2021-08-30,2021-09-29,0.405,3.739,19256
30,9,2018-08-13,2018-09-12,0.394,2.903,23808
30,10,2024-07-08,2024-08-07,0.358,3.292,23182
90,1,2020-03-16,2020-06-14,0.592,7.156,45576
90,2,2010-12-27,2011-03-27,0.501,10.854,77609
90,3,2022-10-17,2023-01-15,0.474,10.183,62577
90,4,2014-03-10,2014-06-08,0.445,3.257,70299
90,5,2018-09-24,2018-12-23,0.435,3.312,65227
90,6,2017-04-10,2017-07-09,0.425,2.999,69150
90,7,2011-08-29,2011-11-27,0.416,2.862,87547
90,8,2017-06-19,2017-09-17,0.407,2.923,70944
90,9,2004-06-07,2004-09-05,0.398,2.823,124732
90,10,2024-06-03,2024-09-01,0.365,3.589,68617
